row,col,value
1.219000000000000000e+03,0.000000000000000000e+00,7.652751678513461941e-01
1.240000000000000000e+03,0.000000000000000000e+00,6.057489903967706590e-01
1.220000000000000000e+03,1.000000000000000000e+00,-9.023176868694657848e-01
1.241000000000000000e+03,1.000000000000000000e+00,-4.679040367256138144e-01
1.221000000000000000e+03,2.000000000000000000e+00,-9.218376489429838117e-01
1.242000000000000000e+03,2.000000000000000000e+00,3.453109555126922525e-01
1.222000000000000000e+03,3.000000000000000000e+00,-3.870769175340235124e-01
1.243000000000000000e+03,3.000000000000000000e+00,-9.219395581949687557e-01
1.223000000000000000e+03,4.000000000000000000e+00,-9.978450472417577100e-01
1.244000000000000000e+03,4.000000000000000000e+00,-3.208013830174900605e-01
1.224000000000000000e+03,5.000000000000000000e+00,-3.828507445112531160e-01
1.245000000000000000e+03,5.000000000000000000e+00,7.824342747787729202e-01
1.225000000000000000e+03,6.000000000000000000e+00,9.713580752104972182e-01
1.246000000000000000e+03,6.000000000000000000e+00,-2.792390073702312736e-01
1.226000000000000000e+03,7.000000000000000000e+00,-9.693723567744448877e-01
1.247000000000000000e+03,7.000000000000000000e+00,-4.122179626359925853e-01
1.227000000000000000e+03,8.000000000000000000e+00,1.297232355095769840e-01
1.248000000000000000e+03,8.000000000000000000e+00,1.004156969532254973e+00
1.228000000000000000e+03,9.000000000000000000e+00,8.161592503996176751e-01
1.249000000000000000e+03,9.000000000000000000e+00,-6.241716420145757560e-01
1.229000000000000000e+03,1.000000000000000000e+01,8.496489184998651245e-01
1.250000000000000000e+03,1.000000000000000000e+01,-4.504996169961968944e-01
1.230000000000000000e+03,1.100000000000000000e+01,4.143471852037004452e-03
1.251000000000000000e+03,1.100000000000000000e+01,-4.360709050082656191e-02
1.231000000000000000e+03,1.200000000000000000e+01,-7.941825653044213285e-01
1.252000000000000000e+03,1.200000000000000000e+01,6.870543667082058548e-01
1.232000000000000000e+03,1.300000000000000000e+01,-1.114376560012538819e+00
1.253000000000000000e+03,1.300000000000000000e+01,-1.189787629701444388e-01
1.233000000000000000e+03,1.400000000000000000e+01,-5.017920235247967931e-01
1.254000000000000000e+03,1.400000000000000000e+01,8.887362914603268438e-01
1.234000000000000000e+03,1.500000000000000000e+01,4.791093390098557503e-01
1.255000000000000000e+03,1.500000000000000000e+01,-9.021931750665250771e-01
1.235000000000000000e+03,1.600000000000000000e+01,2.432071783780325180e-01
1.256000000000000000e+03,1.600000000000000000e+01,1.079809653698452498e+00
1.236000000000000000e+03,1.700000000000000000e+01,-3.909872566558561524e-01
1.257000000000000000e+03,1.700000000000000000e+01,9.592207009337716528e-01
1.237000000000000000e+03,1.800000000000000000e+01,-3.736381502387801090e-01
1.258000000000000000e+03,1.800000000000000000e+01,9.574019318107759302e-01
1.238000000000000000e+03,1.900000000000000000e+01,-9.977518182982606509e-01
1.259000000000000000e+03,1.900000000000000000e+01,-2.893555607135830376e-01
1.239000000000000000e+03,2.000000000000000000e+01,-8.591941295407640178e-01
1.260000000000000000e+03,2.000000000000000000e+01,2.348332611395783420e+00
0.000000000000000000e+00,2.100000000000000000e+01,3.769911184307751455e+02
2.100000000000000000e+01,2.100000000000000000e+01,-3.700000000000000000e+01
1.000000000000000000e+00,2.200000000000000000e+01,3.769911184307751455e+02
2.200000000000000000e+01,2.200000000000000000e+01,-1.071000000000000085e+01
2.000000000000000000e+00,2.300000000000000000e+01,3.769911184307751455e+02
2.300000000000000000e+01,2.300000000000000000e+01,-3.770000000000000018e+00
3.000000000000000000e+00,2.400000000000000000e+01,3.769911184307751455e+02
2.400000000000000000e+01,2.400000000000000000e+01,-8.500000000000000000e+00
4.000000000000000000e+00,2.500000000000000000e+01,3.769911184307751455e+02
2.500000000000000000e+01,2.500000000000000000e+01,-1.176999999999999957e+01
5.000000000000000000e+00,2.600000000000000000e+01,3.769911184307751455e+02
2.600000000000000000e+01,2.600000000000000000e+01,-1.000000000000000000e+03
6.000000000000000000e+00,2.700000000000000000e+01,3.769911184307751455e+02
2.700000000000000000e+01,2.700000000000000000e+01,-9.870000000000000284e+01
7.000000000000000000e+00,2.800000000000000000e+01,3.769911184307751455e+02
2.800000000000000000e+01,2.800000000000000000e+01,-2.700000000000000000e+01
8.000000000000000000e+00,2.900000000000000000e+01,3.769911184307751455e+02
2.900000000000000000e+01,2.900000000000000000e+01,-3.600000000000000000e+01
9.000000000000000000e+00,3.000000000000000000e+01,3.769911184307751455e+02
3.000000000000000000e+01,3.000000000000000000e+01,-4.600000000000000000e+01
1.000000000000000000e+01,3.100000000000000000e+01,3.769911184307751455e+02
3.100000000000000000e+01,3.100000000000000000e+01,-3.000000000000000000e+01
2.031000000000000000e+03,3.100000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,3.200000000000000000e+01,3.769911184307751455e+02
3.200000000000000000e+01,3.200000000000000000e+01,-1.000000000000000000e+03
1.200000000000000000e+01,3.300000000000000000e+01,3.769911184307751455e+02
3.300000000000000000e+01,3.300000000000000000e+01,-6.600000000000000000e+01
1.300000000000000000e+01,3.400000000000000000e+01,3.769911184307751455e+02
3.400000000000000000e+01,3.400000000000000000e+01,-1.900000000000000000e+02
1.400000000000000000e+01,3.500000000000000000e+01,3.769911184307751455e+02
3.500000000000000000e+01,3.500000000000000000e+01,-3.300000000000000000e+01
1.500000000000000000e+01,3.600000000000000000e+01,3.769911184307751455e+02
3.600000000000000000e+01,3.600000000000000000e+01,-2.400000000000000000e+01
1.600000000000000000e+01,3.700000000000000000e+01,3.769911184307751455e+02
3.700000000000000000e+01,3.700000000000000000e+01,-1.000000000000000000e+03
2.032000000000000000e+03,3.700000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,3.800000000000000000e+01,3.769911184307751455e+02
3.800000000000000000e+01,3.800000000000000000e+01,-4.400000000000000000e+01
