Small-Signal Analysis Report
========================================================================
Case file        : cases/Fault_Cases/ieee39_fault.xlsx
Generated        : 2026-04-29T17:37:24.227
States           : 206
Linearization t  : 0.0  (fault off)
Steady-state |f| : 7.022e-10  (OK)

Eigenvalue summary
------------------------------------------------------------------------
  finite eigenvalues    : 186
  algebraic (Inf) modes : 20

Finite eigenvalues  (sorted by real part, least damped first)
------------------------------------------------------------------------
    #               real               imag     freq[Hz]      damping
    1       1.921622e-06      -2.171484e+07 3456023.6539      -0.0000
    2       1.921622e-06       2.171484e+07 3456023.6539      -0.0000
    3      -5.256884e-08      -1.588970e+07 2528924.0041       0.0000
    4      -5.256884e-08       1.588970e+07 2528924.0041       0.0000
    5      -6.321590e-08      -3.354863e+07 5339430.4474       0.0000
    6      -6.321590e-08       3.354863e+07 5339430.4474       0.0000
    7      -2.216486e-04      -2.092273e+07 3329956.6047       0.0000
    8      -2.216486e-04       2.092273e+07 3329956.6047       0.0000
    9      -5.364088e-04      -2.954605e+07 4702400.6936       0.0000
   10      -5.364088e-04       2.954605e+07 4702400.6936       0.0000
   11      -5.473513e-04      -1.702163e+07 2709076.5961       0.0000
   12      -5.473513e-04       1.702163e+07 2709076.5961       0.0000
   13      -6.781435e-04       2.694556e+07 4288519.4494       0.0000
   14      -6.781435e-04      -2.694556e+07 4288519.4494       0.0000
   15      -5.292129e-03       9.600591e+00       1.5280       0.0006
   16      -5.292129e-03      -9.600591e+00       1.5280       0.0006
   17      -5.489167e-03      -9.124479e+00       1.4522       0.0006
   18      -5.489167e-03       9.124479e+00       1.4522       0.0006
   19      -6.237940e-03       8.044763e+00       1.2804       0.0008
   20      -6.237940e-03      -8.044763e+00       1.2804       0.0008
   21      -6.249665e-03      -5.700013e+00       0.9072       0.0011
   22      -6.249665e-03       5.700013e+00       0.9072       0.0011
   23      -7.438127e-03       9.645416e+00       1.5351       0.0008
   24      -7.438127e-03      -9.645416e+00       1.5351       0.0008
   25      -9.002991e-03      -7.365458e+00       1.1722       0.0012
   26      -9.002991e-03       7.365458e+00       1.1722       0.0012
   27      -9.419772e-03      -6.648598e+00       1.0582       0.0014
   28      -9.419772e-03       6.648598e+00       1.0582       0.0014
   29      -1.003436e-02      -8.884774e+00       1.4141       0.0011
   30      -1.003436e-02       8.884774e+00       1.4141       0.0011
   31      -1.019454e-02      -3.190622e+00       0.5078       0.0032
   32      -1.019454e-02       3.190622e+00       0.5078       0.0032
   33      -3.888069e-01       8.185515e+06 1302765.2498       0.0000
   34      -3.888069e-01      -8.185515e+06 1302765.2498       0.0000
   35      -1.192889e+01      -1.122828e+03     178.7036       0.0106
   36      -1.192889e+01       1.122828e+03     178.7036       0.0106
   37      -1.535022e+01      -3.769936e+02      60.0004       0.0407
   38      -1.535022e+01       3.769936e+02      60.0004       0.0407
   39      -2.271610e+01      -3.769916e+02      60.0001       0.0601
   40      -2.271610e+01       3.769916e+02      60.0001       0.0601
   41      -2.397073e+01      -3.770950e+02      60.0165       0.0634
   42      -2.397073e+01       3.770950e+02      60.0165       0.0634
   43      -2.730815e+01       3.769913e+02      60.0000       0.0722
   44      -2.730815e+01      -3.769913e+02      60.0000       0.0722
   45      -2.760986e+01       2.121761e+04    3376.8873       0.0013
   46      -2.760986e+01      -2.121761e+04    3376.8873       0.0013
   47      -2.781125e+01      -2.196923e+04    3496.5121       0.0013
   48      -2.781125e+01       2.196923e+04    3496.5121       0.0013
   49      -2.793822e+01      -3.770018e+02      60.0017       0.0739
   50      -2.793822e+01       3.770018e+02      60.0017       0.0739
   51      -2.922940e+01      -6.788819e+02     108.0474       0.0430
   52      -2.922940e+01       6.788819e+02     108.0474       0.0430
   53      -3.028966e+01       3.770054e+02      60.0023       0.0801
   54      -3.028966e+01      -3.770054e+02      60.0023       0.0801
   55      -3.438159e+01      -3.769911e+02      60.0000       0.0908
   56      -3.438159e+01       3.769911e+02      60.0000       0.0908
   57      -3.457428e+01      -4.211274e+02      67.0245       0.0818
   58      -3.457428e+01       4.211274e+02      67.0245       0.0818
   59      -4.247819e+01      -7.364613e+02     117.2115       0.0576
   60      -4.247819e+01       7.364613e+02     117.2115       0.0576
   61      -4.388060e+01       5.731765e+02      91.2239       0.0763
   62      -4.388060e+01      -5.731765e+02      91.2239       0.0763
   63      -4.403407e+01      -3.804971e+03     605.5799       0.0116
   64      -4.403407e+01       3.804971e+03     605.5799       0.0116
   65      -5.363549e+01      -1.075496e+03     171.1705       0.0498
   66      -5.363549e+01       1.075496e+03     171.1705       0.0498
   67      -5.644457e+01       3.016706e+03     480.1237       0.0187
   68      -5.644457e+01      -3.016706e+03     480.1237       0.0187
   69      -5.669297e+01      -3.570364e+04    5682.4107       0.0016
   70      -5.669297e+01       3.570364e+04    5682.4107       0.0016
   71      -5.697591e+01       3.803677e+02      60.5374       0.1481
   72      -5.697591e+01      -3.803677e+02      60.5374       0.1481
   73      -6.225878e+01      -8.686396e+02     138.2483       0.0715
   74      -6.225878e+01       8.686396e+02     138.2483       0.0715
   75      -6.282899e+01       1.517875e+03     241.5772       0.0414
   76      -6.282899e+01      -1.517875e+03     241.5772       0.0414
   77      -7.658912e+01      -3.652542e+04    5813.2004       0.0021
   78      -7.658912e+01       3.652542e+04    5813.2004       0.0021
   79      -1.424005e+02      -3.121814e+04    4968.5220       0.0046
   80      -1.424005e+02       3.121814e+04    4968.5220       0.0046
   81      -1.753320e+02       1.673073e+03     266.2779       0.1042
   82      -1.753320e+02      -1.673073e+03     266.2779       0.1042
   83      -2.050703e+02      -2.947107e+03     469.0467       0.0694
   84      -2.050703e+02       2.947107e+03     469.0467       0.0694
   85      -2.160548e+02      -3.686240e+03     586.6833       0.0585
   86      -2.160548e+02       3.686240e+03     586.6833       0.0585
   87      -2.493524e+02       3.051350e+04    4856.3738       0.0082
   88      -2.493524e+02      -3.051350e+04    4856.3738       0.0082
   89      -3.027003e+02       1.454889e+04    2315.5277       0.0208
   90      -3.027003e+02      -1.454889e+04    2315.5277       0.0208
   91      -4.035427e+02      -1.581429e+04    2516.9231       0.0255
   92      -4.035427e+02       1.581429e+04    2516.9231       0.0255
   93      -4.088031e+02      -2.574912e+03     409.8100       0.1568
   94      -4.088031e+02       2.574912e+03     409.8100       0.1568
   95      -4.431416e+02       4.130608e+03     657.4066       0.1067
   96      -4.431416e+02      -4.130608e+03     657.4066       0.1067
   97      -4.520203e+02      -1.385982e+04    2205.8584       0.0326
   98      -4.520203e+02       1.385982e+04    2205.8584       0.0326
   99      -4.801406e+02      -1.206468e+04    1920.1527       0.0398
  100      -4.801406e+02       1.206468e+04    1920.1527       0.0398
  101      -5.109219e+02      -6.887043e+03    1096.1069       0.0740
  102      -5.109219e+02       6.887043e+03    1096.1069       0.0740
  103      -5.204541e+02      -3.476456e+03     553.2952       0.1481
  104      -5.204541e+02       3.476456e+03     553.2952       0.1481
  105      -5.300849e+02      -5.114923e+03     814.0652       0.1031
  106      -5.300849e+02       5.114923e+03     814.0652       0.1031
  107      -5.709309e+02      -3.215440e+03     511.7531       0.1748
  108      -5.709309e+02       3.215440e+03     511.7531       0.1748
  109      -5.735373e+02       1.764428e+03     280.8174       0.3091
  110      -5.735373e+02      -1.764428e+03     280.8174       0.3091
  111      -5.965225e+02      -6.481620e+03    1031.5818       0.0916
  112      -5.965225e+02       6.481620e+03    1031.5818       0.0916
  113      -6.498140e+02      -6.473660e+03    1030.3149       0.0999
  114      -6.498140e+02       6.473660e+03    1030.3149       0.0999
  115      -6.644954e+02      -1.129737e+04    1798.0320       0.0587
  116      -6.644954e+02       1.129737e+04    1798.0320       0.0587
  117      -6.657646e+02       1.526750e+04    2429.8987       0.0436
  118      -6.657646e+02      -1.526750e+04    2429.8987       0.0436
  119      -7.038890e+02      -6.743760e+03    1073.3027       0.1038
  120      -7.038890e+02       6.743760e+03    1073.3027       0.1038
  121      -7.365012e+02       1.163419e+04    1851.6394       0.0632
  122      -7.365012e+02      -1.163419e+04    1851.6394       0.0632
  123      -7.529788e+02      -4.507994e+03     717.4696       0.1647
  124      -7.529788e+02       4.507994e+03     717.4696       0.1647
  125      -8.146180e+02       9.935728e+03    1581.3202       0.0817
  126      -8.146180e+02      -9.935728e+03    1581.3202       0.0817
  127      -8.197295e+02       1.098672e+04    1748.5901       0.0744
  128      -8.197295e+02      -1.098672e+04    1748.5901       0.0744
  129      -8.232555e+02       1.290979e+04    2054.6564       0.0636
  130      -8.232555e+02      -1.290979e+04    2054.6564       0.0636
  131      -8.311254e+02      -1.622401e+04    2582.1311       0.0512
  132      -8.311254e+02       1.622401e+04    2582.1311       0.0512
  133      -8.400928e+02      -1.043010e+04    1660.0017       0.0803
  134      -8.400928e+02       1.043010e+04    1660.0017       0.0803
  135      -8.430181e+02       8.124149e+03    1292.9985       0.1032
  136      -8.430181e+02      -8.124149e+03    1292.9985       0.1032
  137      -8.961715e+02       8.984810e+03    1429.9769       0.0993
  138      -8.961715e+02      -8.984810e+03    1429.9769       0.0993
  139      -9.072281e+02       7.392289e+03    1176.5193       0.1218
  140      -9.072281e+02      -7.392289e+03    1176.5193       0.1218
  141      -9.262303e+02      -1.493531e+04    2377.0283       0.0619
  142      -9.262303e+02       1.493531e+04    2377.0283       0.0619
  143      -9.533859e+02      -1.586107e+04    2524.3684       0.0600
  144      -9.533859e+02       1.586107e+04    2524.3684       0.0600
  145      -9.759556e+02       1.120755e+04    1783.7366       0.0868
  146      -9.759556e+02      -1.120755e+04    1783.7366       0.0868
  147      -1.102063e+03      -5.848527e+03     930.8219       0.1852
  148      -1.102063e+03       5.848527e+03     930.8219       0.1852
  149      -1.126815e+03      -9.998558e+03    1591.3200       0.1120
  150      -1.126815e+03       9.998558e+03    1591.3200       0.1120
  151      -1.244624e+03       6.040709e+03     961.4087       0.2018
  152      -1.244624e+03      -6.040709e+03     961.4087       0.2018
  153      -1.338405e+03      -1.461571e+04    2326.1622       0.0912
  154      -1.338405e+03       1.461571e+04    2326.1622       0.0912
  155      -1.390203e+03      -2.521317e+03     401.2801       0.4828
  156      -1.390203e+03       2.521317e+03     401.2801       0.4828
  157      -1.454283e+03      -6.450454e+03    1026.6216       0.2199
  158      -1.454283e+03       6.450454e+03    1026.6216       0.2199
  159      -1.548008e+03      -1.000750e+04    1592.7427       0.1529
  160      -1.548008e+03       1.000750e+04    1592.7427       0.1529
  161      -1.584081e+03      -7.829960e+03    1246.1768       0.1983
  162      -1.584081e+03       7.829960e+03    1246.1768       0.1983
  163      -1.629526e+03      -4.147161e+03     660.0412       0.3657
  164      -1.629526e+03       4.147161e+03     660.0412       0.3657
  165      -1.829852e+03       8.868195e+03    1411.4170       0.2021
  166      -1.829852e+03      -8.868195e+03    1411.4170       0.2021
  167      -1.964662e+03      -7.061396e+03    1123.8561       0.2680
